GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
feria-emprendedores,com.feria.modelos,Categoria,0,27,0,0,0,2,0,1,0,1
feria-emprendedores,com.feria.modelos,Venta,50,56,0,0,18,16,9,3,9,3
feria-emprendedores,com.feria.modelos,Emprendedor,94,35,2,0,22,12,9,5,8,5
feria-emprendedores,com.feria.modelos,Producto,60,40,9,3,15,11,15,2,9,2
feria-emprendedores,com.feria.servicios,DescuentoPorMonto,0,13,0,2,0,2,0,3,0,2
feria-emprendedores,com.feria.servicios,DescuentoPorCantidad,0,12,0,2,0,2,0,3,0,2
feria-emprendedores,com.feria.servicios,GestorFeria,220,51,32,6,50,12,21,4,4,2
feria-emprendedores,com.feria.servicios,RegistroService,0,28,1,3,0,7,1,3,0,2
feria-emprendedores,com.feria.servicios,ValidadorEmprendedor,37,0,12,0,5,0,10,0,4,0
feria-emprendedores,com.feria.servicios,Reportes,243,0,24,0,52,0,19,0,7,0
feria-emprendedores,com.feria,Main,166,0,0,0,23,0,2,0,2,0
feria-emprendedores,com.feria.utils,EmprendedorFormatter,73,0,2,0,12,0,3,0,2,0
feria-emprendedores,com.feria.utils,ProductoFormatter,11,0,0,0,2,0,2,0,2,0
feria-emprendedores,com.feria.utils,Validadores,96,19,30,2,18,4,20,3,5,2
